gir1.2-gstreamer-1.0:amd64	1.24.2-1ubuntu0.1	amd64
gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3	amd64
gir1.2-gtk-4.0:amd64	4.14.5+ds-0ubuntu0.9	amd64
gir1.2-gudev-1.0:amd64	1:238-5ubuntu1	amd64
gir1.2-gweather-4.0:amd64	4.4.2-1build1	amd64
gir1.2-handy-1:amd64	1.8.3-1build2	amd64
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2	amd64
gir1.2-ibus-1.0:amd64	1.5.29-2	amd64
gir1.2-javascriptcoregtk-4.1:amd64	2.52.3-0ubuntu0.24.04.1	amd64
gir1.2-javascriptcoregtk-6.0:amd64	2.52.3-0ubuntu0.24.04.1	amd64
gir1.2-mutter-14:amd64	46.2-1ubuntu0.24.04.14	amd64
gir1.2-nm-1.0:amd64	1.46.0-1ubuntu2.6	amd64
gir1.2-nma4-1.0:amd64	1.10.6-3build2	amd64
gir1.2-notify-0.7:amd64	0.8.3-1build2	amd64
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5	amd64
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1	amd64
gir1.2-peas-1.0:amd64	1.36.0-3build4	amd64
gir1.2-polkit-1.0	124-2ubuntu1.24.04.3	amd64
gir1.2-rsvg-2.0:amd64	2.58.0+dfsg-1build1	amd64
gir1.2-secret-1:amd64	0.21.4-1build3	amd64
gir1.2-snapd-2:amd64	1.64-0ubuntu5	amd64
gir1.2-soup-3.0:amd64	3.4.4-5ubuntu0.7	amd64
gir1.2-upowerglib-1.0:amd64	1.90.3-1	amd64
gir1.2-vte-2.91:amd64	0.76.0-1ubuntu0.1	amd64
gir1.2-webkit-6.0:amd64	2.52.3-0ubuntu0.24.04.1	amd64
gir1.2-webkit2-4.1:amd64	2.52.3-0ubuntu0.24.04.1	amd64
gir1.2-wnck-3.0:amd64	43.0-3build4	amd64
git	1:2.43.0-1ubuntu7.3	amd64
git-man	1:2.43.0-1ubuntu7.3	all
gjs	1.80.2-1build2	amd64
gkbd-capplet	3.28.1-1build3	amd64
glib-networking-common	2.80.0-1build1	all
glib-networking-services	2.80.0-1build1	amd64
glib-networking:amd64	2.80.0-1build1	amd64
gnome-accessibility-themes	3.28-2ubuntu5	all
gnome-bluetooth-3-common	46.0-1ubuntu1	all
gnome-bluetooth-sendto	46.0-1ubuntu1	amd64
gnome-calculator	1:46.3-0ubuntu0.1	amd64
gnome-characters	46.0-1build1	amd64
gnome-clocks	46.0-1build1	amd64
gnome-control-center	1:46.7-0ubuntu0.24.04.3	amd64
gnome-control-center-data	1:46.7-0ubuntu0.24.04.3	all
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.3	all
gnome-desktop3-data	44.0-5build2	all
gnome-disk-utility	46.0-1ubuntu3	amd64
gnome-font-viewer	46.0-1build1	amd64
gnome-initial-setup	46.3-1ubuntu3~24.04.2	amd64
gnome-keyring	46.1-2ubuntu0.2	amd64
gnome-keyring-pkcs11:amd64	46.1-2ubuntu0.2	amd64
gnome-logs	45.0-1build1	amd64
gnome-menus	3.36.0-1.1ubuntu3	amd64
gnome-online-accounts	3.50.4-0ubuntu2	amd64
gnome-power-manager	43.0-2build2	amd64
gnome-remote-desktop	46.3-0ubuntu1.2	amd64
gnome-session-bin	46.0-1ubuntu4	amd64
gnome-session-canberra	0.30-10ubuntu10	amd64
gnome-session-common	46.0-1ubuntu4	all
gnome-settings-daemon	46.0-1ubuntu1.24.04.1	amd64
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1	all
gnome-shell	46.0-0ubuntu6~24.04.13	amd64
gnome-shell-common	46.0-0ubuntu6~24.04.13	all
gnome-shell-extension-appindicator	58-1ubuntu24.04.1	all
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu5	all
gnome-shell-extension-ubuntu-dock	90ubuntu3	all
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1	all
gnome-snapshot	46.2-1ubuntu2	amd64
gnome-startup-applications	46.0-1ubuntu4	amd64
gnome-system-monitor	46.0-1build1	amd64
gnome-terminal	3.52.0-1ubuntu2	amd64
gnome-terminal-data	3.52.0-1ubuntu2	all
